Steven;Colvin;M
Tim;Condren;M
Jack;Conley;M
John (I);Connally;M
Brendan;Connolly;M
Michael S.;Connolly;M
Richard;Conte;M
Kevin (I);Conway;M
Gregory (I);Cooke;M
Christopher E.;Cooper;M
John Sherman;Cooper;M
Harold E.;Cope Jr.;M
Zachary David;Cope;M
Barry;Copping;M
Carmine;Coppola;M
Gian-Carlo;Coppola;M
Charles;Cork;M
Roger;Corman;M
Salvatore;Corsitto;M
Ralph;Cosham;M
James;Cosmo;M
Tony;Cosmo;M
Kevin;Costner;M
Richard;Cotovsky;M
Brian (I);Cox;M
Darryl;Cox;M
Sidney;Cox;M
Willard;Cox;M
Joe (I);Coyle;M
Chris;Cragnotti;M
John D.;Craig;M
Simon (I);Crane;M
Matt (I);Craven;M
Thomas (I);Crawford;M
Robert;Cray;M
Walter;Cronkite;M
David;Cronnelly;M
Trevor;Crouch;M
Tom;Cruise;M
Brett;Cullen;M
Joseph;Culp;M
Jim;Cummings;M
James (I);Cunningham;M
James;Curatola;M
Phill;Curr;M
Tim (I);Curry;M
Alfie;Curtis;M
Peter;Cushing;M
Vincent (I);D'Onofrio;M
Goro;Daimon;M
Sam (I);Dalton;M
Matt;Damon;M
Benjamin;Dane;M
Joshua;Daniel;M
Anthony;Daniels;M
J.D.;Daniels;M
Cesare;Danova;M
James;Daughton;M
Elwin 'Chopper';David;M
John (IV);Davies;M
Robert (V);Davies;M
Gary Lee;Davis;M
Norman;Davis;M
J.C.;Day;M
Charles;de Gaulle;M
Jesse;De Luna;M
Tim;De Zarn;M
Loren;Dean;M
Robertson;Dean;M
Dalton;Dearborn;M
Mickey;Dee;M
Benicio;Del Toro;M
Michael;Delano;M
Brian;Delate;M
Charlie;Dell;M
Michael;DeLorenzo;M
Martin (I);Dempsey;M
Jeffrey;DeMunn;M
Robert A.;Denham;M
Tony;Denman;M
Barry;Dennen;M
Peter;Dennis;M
Eugene C.;DePasquale;M
Thomas;Derrah;M
William;Devane;M
Fraser;Diamond;M
Peter (I);Diamond;M
Warwick;Diamond;M
Leonardo;DiCaprio;M
Paul (I);Dillon;M
Douglas;Dirkson;M
Steve;Dodd;M
Sean Patrick;Doherty;M
John;Doman;M
Ron;Donachie;M
Liam;Donaghy;M
Ray;Donn;M
Richard;Doone;M
Matt;Doran;M
Al Manuel;Douglas;M
Brad R.;Douglas;M
Jerry (I);Douglas;M
Jerry (III);Douglas;M
Sam (I);Douglas;M
Scott;Dow;M
Barry;Dowden;M
Brian;Doyle-Murray;M
Austin;Drage;M
François;du Bois;M
Todd;Duffey;M
Shay;Duffin;M
John (I);Dullaghan;M
Allen;Dulles;M
Jebidiah R.;Dumas;M
Kevin (I);Dunn;M
Martin;Dunne;M
Charles;Durning;M
Robert (I);Duvall;M
Wayne;Duvall;M
Dale;Dye;M
Martin;East;M
Rick;Eby;M
Freedom;Eche;M
James;Ecklund;M
Steve (III);Edelman;M
Charles (VI);Edwards;M
Dwight D.;Eisenhower;M
R. Bruce;Elliott;M
Robert (II);Elliott;M
Chris (I);Ellis;M
Greg (II);Ellis;M
Jonathan D.;Ellis;M
James;Embree;M
Michael;Ensign;M
Ludwig;Erhard;M
Bill;Erwin;M
Georg O.P.;Eschert;M
Pablo (I);Espinosa;M
Ato;Essandoh;M
Troy;Evans;M
Jonathan;Evans-Jones;M
Wayne A.;Evenson;M
Blain;Fairman;M
Anders (I);Falk;M
Tim;Faraday;M
Dennis;Farina;M
Lonnie;Farmer;M
Reginald;Farmer;M
John;Farnell;M
Hugh;Feagin;M
John;Fedevich;M
Russ;Fega;M
José;Feliciano;M
Jorge (II);Fernández;M
Martin;Ferrero;M
John;Ferus;M
Christopher John;Fields;M
John (I);Finnegan;M
Michael W.;Finnell;M
John C.;Fiore;M
Siegfried;Fischbacher;M
Laurence;Fishburne;M
George (III);Fisher;M
Mark (I);Fite;M
Shawn;Fitzgibbon;M
Tommy (I);Flanagan;M
Jason;Flemyng;M
Edward;Fletcher;M
Shawn;Fogarty;M
Adam;Fogerty;M
Gabriel;Folse;M
Jon;Foo;M
Alan (I);Ford;M
Harrison (I);Ford;M
Terry;Forestal;M
Anthony (I);Forrest;M
Grant;Forsberg;M
Edmund Alan;Forsyth;M
Millford;Fortenberry;M
V.J.;Foster;M
Bernard (I);Fox;M
Richard (I);Fox;M
Christopher;Francis;M
Romeo;Francis;M
Robert (IV);Frank;M
Tony;Frank;M
Scott;Franklin;M
Alfonso;Freeman;M
Issac;Freeman;M
John (III);Freeman;M
Morgan (I);Freeman;M
Barry;Friedman;M
Takashi (I);Fujii;M
Stephen;Furst;M
Thomas;Füri;M
Ted;Gagliano;M
Corrado;Gaipa;M
Michael;Galasso;M
Ed;Gale;M
Johnny;Galecki;M
John William;Galt;M
David (I);Gant;M
Mark;Gantt;M
Victor;Garber;M
Andy (I);Garcia;M
Jay;Gardner;M
Salo;Gardner;M
Dave Zee;Garison;M
James (IV);Garrett;M
Jim (I);Garrison;M
Quinn;Gasaway;M
James;Gaulke;M
Steve;Gawley;M
Anthony;Geary;M
Robbie;Gee;M
Bruce;Gelb;M
Leo;Geter;M
John;Ghaly;M
Sam;Giancana;M
Donal;Gibson;M
Mel (I);Gibson;M
Alec;Gifford;M
Werner;Giger;M
Peter;Gil;M
Ed;Gilbert;M
Gary (I);Gilbert;M
Ron (I);Gilbert;M
Michael;Gilden;M
Roswell;Gilpatric;M
Tony (I);Giorgio;M
Michael;Girardin;M
Neil;Giuntoli;M
Gil;Glasgow;M
Brendan;Gleeson;M
Herbert;Glucksman;M
Barry;Gnome;M
Paul (I);Goddard;M
Rusty;Goffe;M
Erwin;Goldi;M
Matthew;Gonder;M
Matthew Michael;Goodall;M
Taylor;Goodall;M
Dwight;Gooden;M
Cuba;Gooding Jr.;M
John (I);Goodman;M
Thom;Gossom Jr.;M
Jim;Gough;M
Bill;Gould;M
Elliott;Gould;M
Geoffrey;Gould;M
Anthony;Gounaris;M
Topher;Grace;M
Gerrit;Graham;M
Richard (I);Graham;M
Stephen (I);Graham;M
Isaac;Grand;M
Marc;Gray;M
Kenneth;Graymez;M
Ivan;Green;M
Gordon;Greene;M
Peter (I);Greene;M
Rick;Greenough;M
Kevin Scott;Greer;M
William (II);Greer;M
Zach;Grenier;M
Googy;Gress;M
Duane;Grey;M
Laurence R.;Griffin;M
Joe Lo;Grippo;M
Robert J.;Groden;M
Max;Grodénchik;M
Andrei;Gromyko;M
Sonny;Grosso;M
Gary;Grubbs;M
Ioan;Gruffudd;M
Greg;Grunberg;M
Christopher;Guest;M
Alec;Guinness;M
Tom;Guiry;M
Sean;Gullette;M
Bob;Gunton;M
Michael;Gurievsky;M
Louis;Guss;M
Buddy;Hackett;M
Paul;Haggar;M
Nik;Hagler;M
Garrick;Hagon;M
Sid;Haig;M
Robert;Haley;M
Jack (V);Hall;M
Nelson (I);Hall;M
Todd (I);Hallowell;M
Eldon G.;Hallum;M
Craig;Hamann;M
Mark (I);Hamill;M
Robert;Hamlett;M
Ari;Handel;M
Larry;Hankin;M
Tom;Hanks;M
Peter;Hanly;M
Barry (II);Hansen;M
Nigel;Harbach;M
Reg;Harding;M
Bobby;Hargis;M
John;Harlan;M
James N.;Harrell;M
Alan (III);Harris;M
Baxter;Harris;M
Ed (I);Harris;M
Robert F.;Harrison;M
Todd;Harrison;M
Lorenz;Hasler;M
Tamer;Hassan;M
John (I);Hathaway;M
Yasuhiko;Hattori;M
Ben;Hauck;M
Rutger;Hauer;M
