Agapanthia subhalybaea W Caucasus 10ex;29.00
Agapanthia suturalis Spain;3.50
Agapanthia violacea NW Caucasus 10ex;9.00
Agapanthia violacea SE Ukraine;1.50
Agathidium bartollii Italy;5.00
Agathidium bohemicum Slovenia;4.00
Agathidium heyrovskii Italy;4.00
Agathidium nigripenne Italy;3.00
Agathidium paganettianum Italy (Sicily);4.50
Agathidium rotumdatum paganettii Italy;4.00
Agelastica alni alni N Russia;1.00
Agelastica alni orientalis Kirgizstan;1.00
Agestrata orichalca Thailand;4.50
Aglais milberti milberti USA m;7.50
Aglais nixa nixa Kirgizstan (N Kirgizsky Mt. rng.) m;5.00
Aglais nixa nixa Uzbekistan (W Gissar Mts.) m;8.00
Aglais urticae turcica Uzbekistan (Chatkal Mt. rng.) f;5.00
Aglais urticae urticae C Russia m;1.00
Aglia tau ex pupae C. Russia f;4.00
Agonum Agonum duftschmidti (=moestum) C Russia;1.50
Agonum Agonum gracilipes Far East of Russia;1.00
Agonum Agonum impressum SE Siberia;1.50
Agonum Agonum longicorne Italy;3.00
Agonum Agonum mandli Far East of Russia;1.50
Agonum Agonum muelleri muelleri C Russia;1.50
Agonum Agonum quinquepunctatum SE Siberia;2.00
Agonum Agonum sexpunctatum C Russia;1.00
Agonum Agonum sordidum Greece;2.50
Agonum Agonum viduum N Russia A-;1.50
Agonum Agonum viridicupreum tschitscherini Kirgizstan;2.00
Agonum Anchus obscurum N Russia;1.00
Agonum Europhilus bellicum Far East of Russia;2.50
Agonum Europhilus micans C Russia;1.00
Agonum Idiochroma dorsale Kirgizstan;0.50
Agonum Liebherrius bicolor SE Siberia;1.50
Agonum numidicum Italy;2.50
Agonum pelidnum Italy;2.00
Agonum Platynus assimile NE Kazakhstan;1.00
Agonum Platynus depressus Italy;2.50
Agonum Platynus krynickii W Ukraine A-;1.50
Agonum Platynus sp. NW India (Hymachal);1.50
Agonum Pseudoplatynus magnum Far East of Russia;3.00
Agriades pheretiades lara Kirgizstan (Borkoldoi Mt. rng.) m;3.00
Agriades pheretiades micros Tadzhikistan (Pamir) f;5.00
Agriades pheretiades micros Tadzhikistan (Pamir) mA-;1.50
Agriades pheretiades pheres Kirgizstan (TransAlai Mt. rng.) f;4.00
Agriades pheretiades pheres Tadzhikistan (Peter I Mt. Rng.) f;4.00
Agriades pheretiades tekessanus E Kirgizstan (Sary-Dzhaz riv.) m;2.00
Agriades pyrenaicus latedisjunctus Russia (N Caucasus) m;6.00
Agrilus convexicollis Italy;2.50
Agrilus cyanescens Italy;4.00
Agrilus graminis Italy;2.50
Agrilus obscuricollis Italy;2.50
Agrilus quadrisignatus SE Siberia;3.00
Agrilus sp.aff.cyaneoniger China (N Sichuan);3.00
Agriotes acuminatus Italy;2.50
Agriotes brevis Italy;2.50
Agriotes gurgistanus NW Caucasus;1.00
Agriotes litigiosus Italy;2.00
Agriotes paludum Greece;2.50
Agriotes rufus Vietnam;2.50
Agriotes tonkinensis Vietnam;2.50
Agrius convolvuli Kirgizstan (Chatkal Mt. rng.) f;6.00
Agrodiaetus cyaneus cyaneus SE Azerbaijan (Talysh) m ((ip-1));9.00
Agrodiaetus damocles SW Siberia (Orenburg reg.) mA-;2.00
Agrodiaetus damon merzbacheri Kirgizstan (Kungei Ala Too Mt. rng.) m;4.50
Agrodiaetus damon zhicharevi SE Azerbaijan (Talysh) m ((ip-1));5.00
Agrodiaetus damone ssp. SW Siberia (Orenburg reg.) f;10.00
Agrodiaetus demavendi SE Azerbaijan (Talysh) m ((ip-1));4.00
Agrodiaetus firdussii pseudactis SE Azerbaijan (Talysh) f ((ip-1));16.00
Agrodiaetus firdussii pseudactis SE Azerbaijan (Talysh) fA- ((ip-1));8.00
Agrodiaetus iphigenides lukhtanovi Kirgizstan (Kokomeren riv.) m A- ((ak-1));2.00
Agrodiaetus julduza julduza Kirgizstan (Kungei Ala Too Mt rng.) m;8.00
Agrodiaetus poseidonides Tadzhikistan (Khozretisho Mt. rng.) m;10.00
Agrodiaetus poseidonides Tadzhikistan (Peter I Mt. rng.) mA-;3.50
Agrodiaetus ripartii (Kirgizstan. Chatkal Mt rng.) f;4.95
Agrodiaetus ripartii Kirgizstan (Suusamyr Mt rng.) m A-;1.50
Agrodiaetus vanensis sheljuzhkoi Armenia m A-;4.00
Agrypnus argillaceus China (N Sichuan);2.50
Agrypnus costicollis Vietnam;2.50
Agrypnus davidi China;3.00
Agrypnus scutellatus Vietnam;2.50
Agrypnus sinensis Vietnam;2.50
Ahasversus advena Germany;4.00
Akis acuminata Spain;3.00
Akis bacarozzo bacarozzo Italy (Sardegna);4.00
Akis spinosa spinosa Italy;4.00
Alancastria caucasica tkatschukovi Russia (W. Caucasus) f ((ak-1));8.00
Alancastria caucasica tkatschukovi Russia (W. Caucasus) m;3.00
Alancastria caucasica tkatschukovi Russia (W. Caucasus) m A-;1.50
Alancastria caucasica tkatschukovi Russia (W. Caucasus) order of 10m;22.00
Alapsodus ensifer N Caucasus;4.00
Alapsodus falcifer S Russia;6.00
Alapsodus inderiensis Kirgizstan;14.00
Alapsodus melanarius S Ukraine;3.00
Albergia friwaldszkyi aquilonaria Russia (N Altai Mts) f;6.00
Albergia friwaldszkyi aquilonaria Russia (N Altai Mts) m;3.00
Albulina amphyrrhoe China (N Sichuan prov.) f;12.00
Albulina amphyrrhoe China (N Sichuan prov.) m;6.00
Albulina lehana Tadzhikistan (E Pamir) f;6.00
Albulina orbitula sajana S Sibera (W Sayan Mts.) f;2.50
Aleochara curtula S Ukraine;1.50
Aleochara moerens N Russia;1.50
Alissonotum cribratellum Laos;8.00
Alophus triguttatus C Russia;2.00
Alosimus caucasicus Armenia;6.00
Alosimus syriacus Israel;1.50
Alosterna tabacicolor bivittis SE Siberia;1.50
Alosterna tabacicolor caucasica W Caucasus;1.50
Alphasida holosericea Spain;2.50
Alpherakya sartoides Kirgizstan (TransAlai Mt. rng.) f;6.00
Alpherakya sartus sartus Kirgizstan (Suusamyr Mt. rng.) m ((ak-1));2.00
Alpherakya sartus sartus Kirgizstan (W Terskei Ala Too Mt. rng.) f ((ak-1));4.00
Alpherakya sartus sartus Kirgizstan (W Terskei Ala Too Mt. rng.) f A- ((ak-1));2.00
Alpherakya sartus sartus Kirgizstan (W Terskei Ala Too Mt. rng.) order of 10m ((ak-1));15.00
Amara Acrodon brunnea NE Siberia (Kamchatka);1.00
Amara Amara biarticulata S Siberia;2.00
Amara Amara coreica Far East of Russia;1.50
Amara Amara eurynota Kirgizstan;1.00
Amara Amara kingdonoides SE Siberia;2.50
Amara Amara montivaga N Caucasus;2.00
Amara Amara nitida Italy;2.50
Amara Amara similata C Russia;1.50
Amara Amathitis abdominalis SE Siberia;3.00
Amara Bradytus apricaria S Ukraine;1.00
Amara Bradytus consularis SW Siberia;2.50
Amara Bradytus fulva C Russia;2.00
Amara Bradytus majuscula SW Siberia;1.00
Amara Bradytus pallidula SE Siberia;2.00
Amara Celia erratica NE Kazakhstan;1.50
Amara Celia interstitialis NE Siberia;2.50
Amara Celia rupicola S Siberia;2.50
Amara communis NE Siberia (C Kamchatka);1.00
Amara convexior Germany;2.50
Amara gravidula testudinea Spain;2.00
Amara Harpalodema sp. S Turkmenistan;3.50
Amara Oreoamara subdepressa E Caucasus;2.00
Amara ovata Kirgizstan;2.50
Amara Paracelia pulchra N Caucasus;2.00
Amara Zezea plebeja Czech;2.00
Amarisius altajensis Far East of Russia;6.00
Amarygmus laosensis Vietnam;3.00
Amblystomus levantinus Italy;3.00
Amblystomus metallescens S Kazakhstan A-;1.50
Amblystomus metallescens SE Ukraine;2.50
Amblystomus raymondi Italy (Sardegna);3.50
Ammobius rufus NW Caucasus;2.50
Ammocleonus aschabadensis Turkmenistan;3.00
Ampedus balteatus E Ukraine;1.00
Ampedus nigrinus NW Russia;1.50
Ampedus ochropterus NW Caucasus;2.50
Ampedus pomorum NW Caucasus;2.00
Ampedus sanguinolentus E Ukraine;1.00
Ampelophaga rubiginosa Far East of Russia (S Primorje reg.) m;4.00
Amphicoma bombyliformis Turkmenistan;0.99
Amphicoma chrysopyga Turkey;2.50
Amphicoma diademata S Turkey;3.00
Amphicoma fastuosa Turkey;3.50
Amphicoma israelita Israel;3.00
Amphicoma kushakewitchi Uzbekistan;1.50
Amphicoma papaveris Turkey;2.50
Amphicoma regeli Tadzhikistan;2.00
Amphicoma vittata lineata Turkey;3.00
Amphicoma vulpes C Kazakhstan;1.00
Amphicyllus globus Italy;2.00
Amphimallon ater France;2.50
Amphimallon fissiceps Morocco;4.50
Amphimallon majale France;2.00
Amphimallon semenovi N Kirgizstan;2.99
Amphimallon solstitialis setosus Armenia;1.00
Amphimallon solstitialis sibiricus NE Kazakhstan (S Altai);1.00
Amphisternus tonkinensis Vietnam;5.00
Amuriana schrencki schrencki Far East of Russia (S Primorie reg.) m;5.00
Amuriana schrencki schrencki Far East of Russia (S Primorie reg.) mA- ((ak-1));2.50
Anadastus wiedemanni Laos;6.00
Anaestethis testacea NW Caucasus;3.00
Anaglyptus simplicicornis NW Caucasus 10ex;45.00
Anaglyptus vicinulus China (N Sichuan);18.00
Anastrangalia dubia NW Caucasus;0.99
Anastrangalia renardi SE Siberia;3.00
Anastrangalia sequensi SE Siberia 10ex;6.50
Anathesis laconoides Laos;3.50
Anatolica angustata NE Kazakhstan;1.50
Anatolica depressa C Kazakhstan;1.00
Anatolica gibbosa gibbosa S Russia;2.00
Anatolica hammarstromi S Siberia;2.00
Anatolica impressa S Russia;1.50
Anatolica longithorax Kirgizstan;2.50
Anatolica sternalis gobiensis Mongolia;3.00
Anatolica undulata SE Siberia;2.00
Anatrytone logan logan USA m;4.50
Ancognatha manca USA;5.00
Ancylocheira dalmatina Croatia;4.00
Ancylocheira novemmaculata E Ukraine;2.00
Ancylocheira rustica NE Kazakhstan;2.00
Ancylocheira strigosa SE Siberia A-;1.00
