#Mix Alleculidae undetermined 5 sp. 40 ex. China (Sichuan);20.00
#Mix Amara (s. lato) undetermined û S. SE Siberia. N. NW. W Caucasus.  Kirgizstan. Uzbekistan. NW. NE. E. S Kazakhstan - 60sp.. 300ex;100.00
#Mix Apionidae undetermined NW. S Russia. NW. W Caucasus - 15 sp.. 100 ex.;40.00
#Mix Bostrychidae undetermined: Uzbekistan (Kyzyl-Kum desert. Katta-Kum desert) - 3sp. 27ex;40.00
#Mix Buprestidae undetermined China (N Sichuan) - 3sp.. 12ex;18.00
#Mix Cantharidae undetermined 4 sp. 6ex. Laos;6.00
#Mix Carabidae undetermined Russia (W Caucasus) 20 sp. 200 ex.;60.00
#Mix Catopidae (+Leiodidae) 12 sp. 40 ex.. (SW. SE Siberia. Uzbekistan. Far East of Russia. Spain);40.00
#Mix Cerambycidae undetermined China (N Sichuan. S Gansu) û 25sp. 80ex;160.00
#Mix Chrysomelidae (excepted Alticinae) undetermined: Uzbekistan. Tadzhikistan û 80sp. 400ex;160.00
#Mix Chrysomelidae undetermined 20 sp. 100 ex. China (N Sichuan);65.00
#Mix Coccinellidae NW India (Hymachal Pradesh) undetermined 15 spec.. 100ex.;40.00
#Mix Coccinellidae undetermined 8sp. 48ex Laos (Khammouang prov.);24.00
#Mix Dermestidae undetermined 60 sp 450 ex former USSR;160.00
#Mix Dytiscidae undetermined  NW Russia. SE Ukraine. S Siberia. Uzbekistan - 50 sp. 250 ex.;120.00
#Mix Elateridae undetermined: 80 sp. 300 ex. Spain. Israel. Azerbaijan. N European Russia. NW Caucasus û 80sp.. 300ex;150.00
#Mix Elateridae undetermined: S. SE Siberia. Far East of Russia û 40sp.. 200ex;100.00
#Mix Gyrinidae undetermined 9 sp 80 ex. former USSR;40.00
#Mix Harpalus (s. lato) undetermined û SE Siberia. N. NW. W Caucasus.  Kirgizstan. Uzbekistan. NW. NE. E. S Kazakhstan - 50sp.. 200ex;70.00
#Mix Helophoridae undetermined 15 sp. 200 ex. Far East of Russia. Uzbekistan. Kirgizstan. S. SW. SE Siberia;80.00
#Mix Heteroceridae undetermined 12 sp. 250 ex. former USSR;50.00
#Mix Histeridae undetermined 20sp. 100ex. Tadzhikistan;60.00
#Mix Lagriidae undetermined China (Sichuan) 10spec.. 60ex.;50.00
#Mix Lampyridae undetermined China (N Sichuan. S Gansu. Shanxi). Laos 8sp. 13ex.;26.00
#Mix Lepidortera from Russia 100 ex.;50.00
#Mix Lycidae NW India (Hymachal Pradesh) undetermined 5 spec.. 100ex.;60.00
#Mix Lycidae undetermined Laos 4sp. 5ex.;5.00
#Mix Malachiidae (Dasytinae) undetermined: Uzbekistan. Kirgizstan. Tadzhikistan. Kazakhstan. Azerbaijan. S Russia - 40 sp.. 200 ex.;60.00
#Mix Noctuidae S Mongolia 5 spec. 16 ex.;20.00
#Mix Oedemeridae undetermined (N. NW Caucasus. Kirgizstan. Azerbaijan. S. SE Siberia. Far East of Russia) 30-35 sp. 150 ex.;75.00
#Mix Scolytidae undetermined - SE Azerbaijan. NW. W Caucasus. S. SW Siberia. Far East of Russia. 20 sp. 70 ex.;70.00
#Mix Sericinae undetermined China (Gansu. Sichuan. Yunnan). NW India (Hymachal-Pradesh) 18-20 sp. 100 ex.;100.00
#Mix Staphylinidae undetermined 100 sp. 1000 ex. former USSR;300.00
#Mix Tenebrionidae undetermined 120 sp. 1000 ex. former USSR;300.00
#Mix Tenebrionidae undetermined 25sp. 100ex Spain;35.00
#Set of palaearctic Carabidae. determined 100sp. 100 ex.;70.00
#Set of palaearctic Carabus. determined 50sp. 50 ex.;75.00
#Set of palaearctic Cerambycinae (included Clytini) (different genera). determined 30sp. 30 ex.;30.00
#Set of palaearctic Cetoniinae. determined 30sp. 30 ex.;40.00
#Set of palaearctic Curculionidae. determined 100sp. 100 ex.;60.00
#Set of palaearctic Lamiinae (different genera). determined 30sp. 30 ex.;40.00
#Set of palaearctic Lepturinae (different genera). determined 40sp. 40 ex.;40.00
#Set of palaearctic Lethrus (s. lato) determined 30sp. 60 ex. (in pairs only);60.00
#Set of palaearctic Lycaenidae. determined 50sp.  50 ex.;75.00
#Set of palaearctic Nymphalidae. determined 50sp. 50 ex.;75.00
#Set of palaearctic Onthophagus. determined 50sp. 50 ex.;50.00
#Set of palaearctic Parnassius. determined 30sp. (ssp.) 30 ex.;120.00
#Set of palaearctic Pieridae (excepted Colias). determined 30sp. (ssp.) 30 ex.;45.00
Abax ater Spain;1.50
Abax baenningeri Italy;2.50
Abax continuus Italy;2.50
Abax ovalis Slovenia;2.50
Abax schueppeli rendshmidti Czech A-;2.00
Ablattaria cribrata NW Caucasus;3.50
Ablattaria laevigata S Russia;2.50
Abraeus granulum Italy;4.00
Acalolepta formosana Taiwan;12.00
Acalolepta sublusca maculihumera Taiwan;12.00
Acantopsilus concolor rotundicollis China (N Sichuan);9.00
Acerbia alpina S Siberia (Tuva reg.) m;60.00
Achalarus lyciades lyciades USA f;9.00
Achenium apenninum Italy;3.00
Achenium humile S Russia;2.00
Achenium striatum Italy;3.50
Acherontia atropos S Africa fA-;6.00
Achranoxia koenigi SE Kazakhstan;4.99
Acilius canaliculatus N Russia;2.00
Acimerus berchmansi Turkey;20.00
Acinopus ammophilus Italy;3.50
Acinopus megacephalus SE Azerbaijan;2.50
Acinopus sublaevis Kirgizstan;2.00
Aclemmysa solarii Italy;5.00
Aclypea turkestanica Kirgizstan;4.99
Acmaeodera adpersula Spain;3.00
Acmaeodera cerasina S Turkey;6.00
Acmaeodera crinita Bulgaria;3.00
Acmaeodera degener mlokoscewiczi NW Caucasus;2.50
Acmaeodera languinosa Spain;2.00
Acmaeoderella boryi Turkey;3.50
Acmaeoderella chrysanthemi S Turkey;4.00
Acmaeoderella discoidea Spain;2.00
Acmaeoderella farinosa Turkey;5.00
Acmaeoderella flavofasciata pilivestis Spain;1.50
Acmaeoderella flavolineata Israel;4.00
Acmaeoderella lata Turkmenistan;2.50
Acmaeoderella rubromaculata Spain;3.00
Acmaeoderella staudingeri Kirgizstan;3.00
Acmaeoderella villosula S Turkey;4.00
Acmaeops smaragdula NE Siberia;2.00
Acosmeryx naga hissarica Tadzhikistan (S Gissar Mts.) m ((ak-1));9.00
Acritus italicus Italy (Sicily);5.00
Actenicerus sjaelandicus SE Ukraine;1.50
Acupalpus bullatus Germany;2.50
Acupalpus elegans Italy;2.00
Acupalpus exiguus Italy (Sicily);2.00
Acupalpus flaviceps SE Kazakhstan;2.00
Acupalpus luteatus Italy (Sicily);2.00
Acupalpus notatus Italy;2.00
Acupalpus parvulus Italy;2.50
Adavius clavipes Afghanistan;4.00
Adelocera punctata Spain;2.00
Adelostoma sulcatum Morocco;2.50
Adesmia audoini kandaharica Afghanistan;7.00
Adesmia biseriata Uzbekistan;3.00
Adesmia cancellata ssp. Israel;3.00
Adesmia gebleri elliptica Afghanistan;5.00
Adesmia gebleri Turkmenistan;4.00
Adesmia jugalis kasyi Afghanistan;7.00
Adesmia karelini gulatensis Afghanistan;6.00
Adesmia karelini ssp. Iran;5.00
Adesmia lehmanni S Kazakhstan;5.00
Adesmia Oterocelis sp. Israel;5.00
Adesmia panderi SE Kazakhstan;2.00
Adesmia servillei parisi Afghanistan;5.00
Adesmia servillei shatzmayrii Afghanistan;5.00
Adesmia sodalis laghmanica Afghanistan;7.00
Adesmia stoekleini rasalkhaymana Oman;6.00
Adoretosoma chinense China (N Sichuan);9.00
Adoretus convexus Laos;3.50
Adoretus flavus Afghanistan;8.00
Adoretus langsonicus Vietnam;5.00
Adoretus nigrifrons S Russia;1.00
Adoretus pruinosus S Tadzhikistan;1.99
Adoretus rufifrons Afghanistan;7.00
Adoretus vitalisi Laos;4.50
Adosomus granulosus Far East of Russia;2.50
Adrastus lacertosus Italy;2.50
Adrastus montanus Greece;2.50
Adrastus rachifer Italy;2.00
Aegalia friebi S Siberia;5.00
Aegus chelifer Laos female;6.00
Aegus chelifer Laos male 23mm;12.00
Aegus laevicollis formosae Taiwan female;4.00
Aeletes atomaius Italy;4.00
Aeloderma crucifer Italy;2.00
Aeolesthes sarta Turkmenistan A-;1.50
Aeolesthes sarta Uzbekistan A-;1.50
Aesalus ulanowskii NW Caucasus female;5.00
Aesalus ulanowskii NW Caucasus order of 10 males;30.00
Aesalus ulanowskii NW Caucasus pair;10.00
Aethiessa floralis Italy (Sicily);6.00
Aethioctes optatus Gabon;3.00
Agabus arcticus Sweden;3.50
Agabus binotatus Italy (Sardegna);2.50
Agabus bipustulatus NW Caucasus;2.00
Agabus cephalotes France (Corsica);2.50
Agabus congener N Russia;1.50
Agabus didymus Italy (Sardegna);2.50
Agabus elongatus Poland;2.50
Agabus glacialis Turkey;2.50
Agabus labiatus Austria;2.50
Agabus nebulosus Italy;2.50
Agabus neglectus N Russia;2.00
Agabus setulosus NW Russia;2.00
Agabus solieri Italy;3.00
Agabus sturmi Italy;2.50
